s_4097	s_4089	s_4082	s_4046	s_4074	s_4032	s_4029	s_4039	s_4031	s_4087	s_4030	s_4041	s_4028	s_4049	s_4057	s_4080	s_4033	s_4100	s_4040
s_4097 0 0.00372433 0.00004347 0.00510025 0.00537934 0.00006259 0.00004061 0.00011237 0.00004832 0.00371531 0.00007924 0.00025238 0.00410634 0.00530378 0.00372681 0.00522771 0.00330811 0.00003805 0.00011393
s_4089 0.00372433 0 0.00363987 0.00484056 0.00510592 0.00350527 0.00360175 0.00355496 0.00354266 0.00012252 0.00345943 0.00357839 0.00401248 0.00504379 0.00009483 0.00495873 0.00335083 0.00369693 0.00357509
s_4082 0.00004347 0.00363987 0 0.00495299 0.00526412 0.00006428 0.00004563 0.00012220 0.00005841 0.00361924 0.00008422 0.00025110 0.00400199 0.00516211 0.00364630 0.00512293 0.00326291 0.00004667 0.00012417
s_4046 0.00510025 0.00484056 0.00495299 0 0.00299607 0.00490857 0.00501561 0.00495395 0.00493632 0.00485020 0.00488148 0.00486911 0.00374731 0.00064345 0.00488839 0.00064887 0.00459422 0.00506043 0.00496695
s_4074 0.00537934 0.00510592 0.00526412 0.00299607 0 0.00502189 0.00520576 0.00510115 0.00508335 0.00513790 0.00498415 0.00504759 0.00381977 0.00287067 0.00517450 0.00284840 0.00473660 0.00534237 0.00512523
s_4032 0.00006259 0.00350527 0.00006428 0.00490857 0.00502189 0 0.00007066 0.00014235 0.00007471 0.00349387 0.00010395 0.00025568 0.00394995 0.00501887 0.00352058 0.00493710 0.00322124 0.00006860 0.00013283
s_4029 0.00004061 0.00360175 0.00004563 0.00501561 0.00520576 0.00007066 0 0.00011500 0.00005525 0.00356346 0.00008099 0.00024331 0.00404896 0.00516119 0.00359504 0.00506767 0.00325149 0.00004565 0.00011677
s_4039 0.00011237 0.00355496 0.00012220 0.00495395 0.00510115 0.00014235 0.00011500 0 0.00012382 0.00354939 0.00014690 0.00030608 0.00402510 0.00508960 0.00357161 0.00501991 0.00323268 0.00012332 0.00018659
s_4031 0.00004832 0.00354266 0.00005841 0.00493632 0.00508335 0.00007471 0.00005525 0.00012382 0 0.00352567 0.00009012 0.00024959 0.00403581 0.00510448 0.00354643 0.00501228 0.00322424 0.00005642 0.00012220
s_4087 0.00371531 0.00012252 0.00361924 0.00485020 0.00513790 0.00349387 0.00356346 0.00354939 0.00352567 0 0.00344118 0.00356927 0.00403997 0.00501732 0.00008306 0.00493186 0.00333326 0.00364935 0.00355959
s_4030 0.00007924 0.00345943 0.00008422 0.00488148 0.00498415 0.00010395 0.00008099 0.00014690 0.00009012 0.00344118 0 0.00026352 0.00400528 0.00504292 0.00342427 0.00496390 0.00320676 0.00008660 0.00014271
s_4041 0.00025238 0.00357839 0.00025110 0.00486911 0.00504759 0.00025568 0.00024331 0.00030608 0.00024959 0.00356927 0.00026352 0 0.00400708 0.00502787 0.00358075 0.00494296 0.00320707 0.00025307 0.00030046
s_4028 0.00410634 0.00401248 0.00400199 0.00374731 0.00381977 0.00394995 0.00404896 0.00402510 0.00403581 0.00403997 0.00400528 0.00400708 0 0.00369837 0.00409808 0.00367101 0.00386545 0.00409537 0.00407140
s_4049 0.00530378 0.00504379 0.00516211 0.00064345 0.00287067 0.00501887 0.00516119 0.00508960 0.00510448 0.00501732 0.00504292 0.00502787 0.00369837 0 0.00506267 0.00024196 0.00483092 0.00524431 0.00511640
s_4057 0.00372681 0.00009483 0.00364630 0.00488839 0.00517450 0.00352058 0.00359504 0.00357161 0.00354643 0.00008306 0.00342427 0.00358075 0.00409808 0.00506267 0 0.00498124 0.00336618 0.00366606 0.00358349
s_4080 0.00522771 0.00495873 0.00512293 0.00064887 0.00284840 0.00493710 0.00506767 0.00501991 0.00501228 0.00493186 0.00496390 0.00494296 0.00367101 0.00024196 0.00498124 0 0.00461406 0.00518524 0.00503241
s_4033 0.00330811 0.00335083 0.00326291 0.00459422 0.00473660 0.00322124 0.00325149 0.00323268 0.00322424 0.00333326 0.00320676 0.00320707 0.00386545 0.00483092 0.00336618 0.00461406 0 0.00325380 0.00323534
s_4100 0.00003805 0.00369693 0.00004667 0.00506043 0.00534237 0.00006860 0.00004565 0.00012332 0.00005642 0.00364935 0.00008660 0.00025307 0.00409537 0.00524431 0.00366606 0.00518524 0.00325380 0 0.00012152
s_4040 0.00011393 0.00357509 0.00012417 0.00496695 0.00512523 0.00013283 0.00011677 0.00018659 0.00012220 0.00355959 0.00014271 0.00030046 0.00407140 0.00511640 0.00358349 0.00503241 0.00323534 0.00012152 0
